source,target,value,ip
ETHPORT-5-IF_UP:Interface <*> <*> is up in mode <*>,ETHPORT-5-IF_RX_FLOW_CONTROL:Interface <*> <*> <*> <*> <*> state changed to <*>,0.704739,all
ETHPORT-5-IF_UP:Interface <*> <*> is up in mode <*>,ETHPORT-5-IF_DOWN_PORT_CHANNEL_MEMBERS_DOWN:Interface <*> is down No operational members,0.704739,all
PKT_INFRA-FM-2-FAULT_CRITICAL :ALARM_CRITICAL :OPTICS RX POWER <*> LOW ALARM <*> : <*> <*> <*> <*>,PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,0.619241,all
PKT_INFRA-FM-2-FAULT_CRITICAL :ALARM_CRITICAL :OPTICS RX POWER <*> LOW ALARM <*> : <*> <*> <*> <*>,L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*>,0.700483,all
BFDFSM-6-BFD_SESS_UP:BFD-SYSLOG: BFD session <*> <*> is going UP,"SFF8472-3-THRESHOLD_VIOLATION:<*> <*> <*> Temperature high <*> Operating value: <*> C, Threshold value: <*> C.",0.601257,all
BFDFSM-6-BFD_SESS_UP:BFD-SYSLOG: BFD session <*> <*> is going UP,L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,0.678941,all
BFDFSM-6-BFD_SESS_UP:BFD-SYSLOG: BFD session <*> <*> is going UP,L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,0.603595,all
L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,0.743045,all
L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,ROUTING-MPLS_TE-4-WARN :TE-BFD not configured on intf <*> FRR or Path Protection triggered to be consistent with forwarding,0.718297,all
L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,0.686356,all
ROUTING-MPLS_TE-4-WARN :TE-BFD not configured on intf <*> FRR or Path Protection triggered to be consistent with forwarding,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,0.706625,all
ROUTING-MPLS_TE-4-WARN :TE-BFD not configured on intf <*> FRR or Path Protection triggered to be consistent with forwarding,L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,0.718294,all
ROUTING-MPLS_TE-4-WARN :TE-BFD not configured on intf <*> FRR or Path Protection triggered to be consistent with forwarding,"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> entered Dampened state initial: 2000 ms,secondary: 5000 ms,maximum: 120000 ms .",0.683392,all
"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> entered Dampened state initial: 2000 ms,secondary: 5000 ms,maximum: 120000 ms .",BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,0.687317,all
"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> entered Dampened state initial: 2000 ms,secondary: 5000 ms,maximum: 120000 ms .",L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,0.684921,all
"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> entered Dampened state initial: 2000 ms,secondary: 5000 ms,maximum: 120000 ms .",L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,0.717646,all
L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,0.692175,all
L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> entered Dampened state initial: 2000 ms,secondary: 5000 ms,maximum: 120000 ms .",0.717646,all
L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,0.668307,all
L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,0.663966,all
L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,0.686356,all
L2-BFD-6-SESSION_STATE_UP :BFD session to neighbor <*> on interface <*> is up,L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,0.668306,all
ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,IP-TCP_NSR-5-DISABLED :<*> <-> <*> NSR disabled for TCP connection because Retransmission threshold exceeded,0.721995,all
ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,"ROUTING-LDP-5-NSR_SYNC_PEER_DONE :VRF 'default' 0x60000000 , Peer <*> initial synchronization done",0.728514,all
ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,ROUTING-LDP-5-NSR_SYNC_DONE :Initial synchronization successfully done for <*> peers,0.728514,all
IP-TCP_NSR-5-DISABLED :<*> <-> <*> NSR disabled for TCP connection because Retransmission threshold exceeded,IFDAMP-5-UPDOWN:interface <*> <*> <*> update IP Routing state to <*> interface is not suppressed,0.686462,all
IP-TCP_NSR-5-DISABLED :<*> <-> <*> NSR disabled for TCP connection because Retransmission threshold exceeded,ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,0.721997,all
IP-TCP_NSR-5-DISABLED :<*> <-> <*> NSR disabled for TCP connection because Retransmission threshold exceeded,IOSXE_RP_ALARM-2-PEM:asserted CRITICAL Power Supply Module <*> Power Supply Failure,0.653156,all
